name,superCategory,category,subCategory,imageUrl
Caffe Americano,Drinks,Hot Coffees,Americanos,https://globalassets.starbucks.com/assets/f12bc8af498d45ed92c5d6f1dac64062.jpg?impolicy=1by1_tight_288
Blonde Roast,Drinks,Hot Coffees,Brewed Coffees,https://globalassets.starbucks.com/assets/abb4f97948c948c28ea2dcaf933c4f6b.jpg?impolicy=1by1_tight_288
Caffe Misto,Drinks,Hot Coffees,Brewed Coffees,https://globalassets.starbucks.com/assets/d668acbc691b47249548a3eeac449916.jpg?impolicy=1by1_tight_288
Featured Starbucks Dark Roast Coffee,Drinks,Hot Coffees,Brewed Coffees,https://globalassets.starbucks.com/assets/0279f9c5fa5941d2a65dd183d7a0b386.jpg?impolicy=1by1_tight_288
Pike Place Roast,Drinks,Hot Coffees,Brewed Coffees,https://globalassets.starbucks.com/assets/bffaf0f27e124801abcabe09f05b0fb2.jpg?impolicy=1by1_tight_288
Decaf Pike Place Roast,Drinks,Hot Coffees,Brewed Coffees,https://globalassets.starbucks.com/assets/51bf549cd8e9434da941fec33b820d39.jpg?impolicy=1by1_tight_288
Cappucino,Drinks,Hot Coffees,Cappucinos,https://globalassets.starbucks.com/assets/5c515339667943ce84dc56effdf5fc1b.jpg?impolicy=1by1_tight_288
Espresso,Drinks,Hot Coffees,Espresso Shots,https://globalassets.starbucks.com/assets/ec519dd5642c41629194192cce582135.jpg?impolicy=1by1_tight_288
Espresso Con Panna,Drinks,Hot Coffees,Espresso Shots,https://globalassets.starbucks.com/assets/e9330b18ae524e69bdcbe97460d6f5bb.jpg?impolicy=1by1_tight_288
Flat White,Drinks,Hot Coffees,Flat Whites,https://globalassets.starbucks.com/assets/fedee22e49724cd09fbcc7ee2e567377.jpg?impolicy=1by1_tight_288
Honey Almondmilk Flat White,Drinks,Hot Coffees,Flat Whites,https://globalassets.starbucks.com/assets/77801559b72b469583f4d484adc1bfa7.jpg?impolicy=1by1_tight_288
Pumpkin Spice Latte,Drinks,Hot Coffees,Lattes,https://globalassets.starbucks.com/assets/4ea1c4c2b6734cd389208520969000f6.jpg?impolicy=1by1_tight_288
Honey Oatmilk Latte,Drinks,Hot Coffees,Lattes,https://globalassets.starbucks.com/assets/edd75880341c437ab194c14835fbb24e.jpg?impolicy=1by1_tight_288
Caffe Latte,Drinks,Hot Coffees,Lattes,https://globalassets.starbucks.com/assets/b635f407bbcd49e7b8dd9119ce33f76e.jpg?impolicy=1by1_tight_288
Cinnamon Dolce Latte,Drinks,Hot Coffees,Lattes,https://globalassets.starbucks.com/assets/9329c03ce24f4623be25dd24d7537db2.jpg?impolicy=1by1_tight_288
Starbucks Reserve Latte,Drinks,Hot Coffees,Lattes,https://globalassets.starbucks.com/assets/55083489399e435e81cf41d899051a5a.jpg?impolicy=1by1_tight_288
